Service Price Name	Healthcare Service	Price Type	Currency	Service Charge	Group Name (If Applicable)
CTG Local Corporate	CTG	Percentage	GHS	101.2	Local Corporate
Daily Injection Local Corporate	Daily Injection	Percentage	GHS	101.2	Local Corporate
Doctors Fee - M&C Local Corporate	Doctors Fee - M&C	Percentage	GHS	101.2	Local Corporate
Doctors Fees (daily) Local Corporate	Doctors Fees (daily)	Percentage	GHS	101.2	Local Corporate
Domiciliary Consultation Local Corporate	Domiciliary Consultation	Percentage	GHS	101.2	Local Corporate
Ear Piercing (M&C) Local Corporate	Ear Piercing (M&C)	Percentage	GHS	101.2	Local Corporate
Emergency Management of Open Fracture Local Corporate	Emergency Management of Open Fracture	Percentage	GHS	101.2	Local Corporate
Endoscopic Sinus Surgery Local Corporate	Endoscopic Sinus Surgery	Percentage	GHS	101.2	Local Corporate
ENDOSCOPY Local Corporate	ENDOSCOPY	Percentage	GHS	101.2	Local Corporate
ENDOSCOPY UNIT Local Corporate	ENDOSCOPY UNIT	Percentage	GHS	101.2	Local Corporate
Endotracheal Incubation (ICU) Local Corporate	Endotracheal Incubation (ICU)	Percentage	GHS	101.2	Local Corporate
Endotracheal Intubation Local Corporate	Endotracheal Intubation	Percentage	GHS	101.2	Local Corporate
ENT Ear Syringing (NICU) Local Corporate	ENT Ear Syringing (NICU)	Percentage	GHS	101.2	Local Corporate
ENTONOX GAS PRESSURE BAR Local Corporate	ENTONOX GAS PRESSURE BAR	Percentage	GHS	101.2	Local Corporate
Epidural Anaesthesia Local Corporate	Epidural Anaesthesia	Percentage	GHS	101.2	Local Corporate
EPISIOTOMY (M&C) Local Corporate	EPISIOTOMY (M&C)	Percentage	GHS	101.2	Local Corporate
ER Physician 6hrs charge Local Corporate	ER Physician 6hrs charge	Percentage	GHS	101.2	Local Corporate
ER Specialist Nurse Charge Local Corporate	ER Specialist Nurse Charge	Percentage	GHS	101.2	Local Corporate
Exclusive Nursing Care Local Corporate	Exclusive Nursing Care	Percentage	GHS	101.2	Local Corporate
Eye Irrigation Local Corporate	Eye Irrigation	Percentage	GHS	101.2	Local Corporate
Fitness Examination Local Corporate	Fitness Examination	Percentage	GHS	101.2	Local Corporate
Gastric Lavage (Procedure) Local Corporate	Gastric Lavage (Procedure)	Percentage	GHS	101.2	Local Corporate
Gastric Lavage Procedure (NICU) Local Corporate	Gastric Lavage Procedure (NICU)	Percentage	GHS	101.2	Local Corporate
General Practitioner 6hrs Local Corporate	General Practitioner 6hrs	Percentage	GHS	101.2	Local Corporate
HDU Nursing Charges Local Corporate	HDU Nursing Charges	Percentage	GHS	101.2	Local Corporate
HIV 1 & 2 (Rapid + Elisa) Local Corporate	HIV 1 & 2 (Rapid + Elisa)	Percentage	GHS	101.2	Local Corporate
Home Care Transport: Airport Vicinity Local Corporate	Home Care Transport: Airport Vicinity	Percentage	GHS	101.2	Local Corporate
Home Care: New Baby Care (12hrs) Local Corporate	Home Care: New Baby Care (12hrs)	Percentage	GHS	101.2	Local Corporate
Home Care: New Baby Care (24hrs) Local Corporate	Home Care: New Baby Care (24hrs)	Percentage	GHS	101.2	Local Corporate
Home Care: New Baby Care (6hrs) Local Corporate	Home Care: New Baby Care (6hrs)	Percentage	GHS	101.2	Local Corporate
Home Care: Nursing Service Charge Local Corporate	Home Care: Nursing Service Charge	Percentage	GHS	101.2	Local Corporate
ICU Central Line Insertion & Removal Local Corporate	ICU Central Line Insertion & Removal	Percentage	GHS	101.2	Local Corporate
ICU Nursing Care Charges Local Corporate	ICU Nursing Care Charges	Percentage	GHS	101.2	Local Corporate
Image Guided Drainage and Aspirations (Deep) Local Corporate	Image Guided Drainage and Aspirations (Deep)	Percentage	GHS	101.2	Local Corporate
Image Guided Drainage and Aspirations(Superficial) Local Corporate	Image Guided Drainage and Aspirations(Superficial)	Percentage	GHS	101.2	Local Corporate
IMPLANON INSERTION / REMOVAL (M&C) Local Corporate	IMPLANON INSERTION / REMOVAL (M&C)	Percentage	GHS	101.2	Local Corporate
Incentive Spirometery (ICU) Local Corporate	Incentive Spirometery (ICU)	Percentage	GHS	101.2	Local Corporate
Incision & Drainage of the thumb Local Corporate	Incision & Drainage of the thumb	Percentage	GHS	101.2	Local Corporate
Incision and drainage Local Corporate	Incision and drainage	Percentage	GHS	101.2	Local Corporate
Indirect Ophthalmoscopy Local Corporate	Indirect Ophthalmoscopy	Percentage	GHS	101.2	Local Corporate
INSERTION OF IMPLANT Local Corporate	INSERTION OF IMPLANT	Percentage	GHS	101.2	Local Corporate
INSERTION OF IUCD Local Corporate	INSERTION OF IUCD	Percentage	GHS	101.2	Local Corporate
Insertion of Jadel - M&C Local Corporate	Insertion of Jadel - M&C	Percentage	GHS	101.2	Local Corporate
Intermediate Dressing - M&C Local Corporate	Intermediate Dressing - M&C	Percentage	GHS	101.2	Local Corporate
Intermediate wound dressing (Home Care) Local Corporate	Intermediate wound dressing (Home Care)	Percentage	GHS	101.2	Local Corporate
IUCD INSERTION / REMOVAL (M&C) Local Corporate	IUCD INSERTION / REMOVAL (M&C)	Percentage	GHS	101.2	Local Corporate
IV/IM drug administration (Home Care) Local Corporate	IV/IM drug administration (Home Care)	Percentage	GHS	101.2	Local Corporate
JADELLE INSERTION / REMOVAL (M&C) Local Corporate	JADELLE INSERTION / REMOVAL (M&C)	Percentage	GHS	101.2	Local Corporate
Lumber Puncture Local Corporate	Lumber Puncture	Percentage	GHS	101.2	Local Corporate
Major Dressing - M&C Local Corporate	Major Dressing - M&C	Percentage	GHS	101.2	Local Corporate
Major wound Dressing (Home Care) Local Corporate	Major wound Dressing (Home Care)	Percentage	GHS	101.2	Local Corporate
Manual Evacuation (M&C) Local Corporate	Manual Evacuation (M&C)	Percentage	GHS	101.2	Local Corporate
Medical Exam Fee Local Corporate	Medical Exam Fee	Percentage	GHS	101.2	Local Corporate
MEDICAL OPINION (GENERAL) Local Corporate	MEDICAL OPINION (GENERAL)	Percentage	GHS	101.2	Local Corporate
MEDICAL OPINION (LEGAL) Local Corporate	MEDICAL OPINION (LEGAL)	Percentage	GHS	101.2	Local Corporate
Minor Dressing - M&C Local Corporate	Minor Dressing - M&C	Percentage	GHS	101.2	Local Corporate
Minor wound dressing (Home care) Local Corporate	Minor wound dressing (Home care)	Percentage	GHS	101.2	Local Corporate
Nebulisation Local Corporate	Nebulisation	Percentage	GHS	101.2	Local Corporate
Nebulisation Mask Local Corporate	Nebulisation Mask	Percentage	GHS	101.2	Local Corporate
Nebulization on the ventilator (ICU) Local Corporate	Nebulization on the ventilator (ICU)	Percentage	GHS	101.2	Local Corporate
Needle Cricothyroidotomy Local Corporate	Needle Cricothyroidotomy	Percentage	GHS	101.2	Local Corporate
NELATION TUBE (M&C) Local Corporate	NELATION TUBE (M&C)	Percentage	GHS	101.2	Local Corporate
NELATON TUBE Local Corporate	NELATON TUBE	Percentage	GHS	101.2	Local Corporate
NEUROPSYCHOLOGICAL ASSESSMENT Local Corporate	NEUROPSYCHOLOGICAL ASSESSMENT	Percentage	GHS	101.2	Local Corporate
New Baby Care (Home Care) Local Corporate	New Baby Care (Home Care)	Percentage	GHS	101.2	Local Corporate
NG Tube feeding (Home Care) Local Corporate	NG Tube feeding (Home Care)	Percentage	GHS	101.2	Local Corporate
NG Tube Insertion Local Corporate	NG Tube Insertion	Percentage	GHS	101.2	Local Corporate
NICU (Daily Rate) Local Corporate	NICU (Daily Rate)	Percentage	GHS	101.2	Local Corporate
NICU - Perfusor Extension Line Local Corporate	NICU - Perfusor Extension Line	Percentage	GHS	101.2	Local Corporate
NICU - Random Blood Sugar Local Corporate	NICU - Random Blood Sugar	Percentage	GHS	101.2	Local Corporate
NICU - Registration Fee Local Corporate	NICU - Registration Fee	Percentage	GHS	101.2	Local Corporate
NICU Babies charge Local Corporate	NICU Babies charge	Percentage	GHS	101.2	Local Corporate
NICU NG Tube Local Corporate	NICU NG Tube	Percentage	GHS	101.2	Local Corporate
NICU Nursing Care Local Corporate	NICU Nursing Care	Percentage	GHS	101.2	Local Corporate
Nursing High Care Charge Local Corporate	Nursing High Care Charge	Percentage	GHS	101.2	Local Corporate
Nursing Service Charge Local Corporate	Nursing Service Charge	Percentage	GHS	101.2	Local Corporate
Nursing Service Charge - M&C Local Corporate	Nursing Service Charge - M&C	Percentage	GHS	101.2	Local Corporate
Perfusor Line Local Corporate	Perfusor Line	Percentage	GHS	101.2	Local Corporate
Perfusor line/perfusor (ICU) Local Corporate	Perfusor line/perfusor (ICU)	Percentage	GHS	101.2	Local Corporate
Pericardiocentesis Local Corporate	Pericardiocentesis	Percentage	GHS	101.2	Local Corporate
Physical Examination Fee Local Corporate	Physical Examination Fee	Percentage	GHS	101.2	Local Corporate
Placement of the Therapeutic (bandage) Contact Lens Local Corporate	Placement of the Therapeutic (bandage) Contact Lens	Percentage	GHS	101.2	Local Corporate
POLICE FORM Local Corporate	POLICE FORM	Percentage	GHS	101.2	Local Corporate
Police Report Local Corporate	Police Report	Percentage	GHS	101.2	Local Corporate
RANDOM BLOOD GLUCOSE (M&C) Local Corporate	RANDOM BLOOD GLUCOSE (M&C)	Percentage	GHS	101.2	Local Corporate
Reduction of a Digit Dislocation Local Corporate	Reduction of a Digit Dislocation	Percentage	GHS	101.2	Local Corporate
Reduction of Ankle Dislocation Local Corporate	Reduction of Ankle Dislocation	Percentage	GHS	101.2	Local Corporate
Reduction of Colles Fracture Local Corporate	Reduction of Colles Fracture	Percentage	GHS	101.2	Local Corporate
Reduction of Elbow Dislocation Local Corporate	Reduction of Elbow Dislocation	Percentage	GHS	101.2	Local Corporate
Reduction of Hip Dislocation Local Corporate	Reduction of Hip Dislocation	Percentage	GHS	101.2	Local Corporate
Reduction of Shoulder Dislocation Local Corporate	Reduction of Shoulder Dislocation	Percentage	GHS	101.2	Local Corporate
Registration Fee Local Corporate	Registration Fee	Percentage	GHS	101.2	Local Corporate
Removal of Cast Local Corporate	Removal of Cast	Percentage	GHS	101.2	Local Corporate
REMOVAL OF IMPLANT Local Corporate	REMOVAL OF IMPLANT	Percentage	GHS	101.2	Local Corporate
REMOVAL OF IUCD Local Corporate	REMOVAL OF IUCD	Percentage	GHS	101.2	Local Corporate
Removal of Jadel - M&C Local Corporate	Removal of Jadel - M&C	Percentage	GHS	101.2	Local Corporate
Removal of UID Local Corporate	Removal of UID	Percentage	GHS	101.2	Local Corporate
Reporting Fee Local Corporate	Reporting Fee	Percentage	GHS	101.2	Local Corporate
Resuscitation Advance Local Corporate	Resuscitation Advance	Percentage	GHS	101.2	Local Corporate
Resuscitation Basic Local Corporate	Resuscitation Basic	Percentage	GHS	101.2	Local Corporate
Ring Removal Local Corporate	Ring Removal	Percentage	GHS	101.2	Local Corporate
SARS-COV-2 NUCLEIC ACID TEST(200-300) Local Corporate	SARS-COV-2 NUCLEIC ACID TEST(200-300)	Percentage	GHS	101.2	Local Corporate
SARS-COV-2 NUCLEIC ACID TEST(300+) Local Corporate	SARS-COV-2 NUCLEIC ACID TEST(300+)	Percentage	GHS	101.2	Local Corporate
SARS-COV-2 NUCLEIC ACID TEST(Express) Local Corporate	SARS-COV-2 NUCLEIC ACID TEST(Express)	Percentage	GHS	101.2	Local Corporate
SARS-COV-2 NUCLEIC ACID TEST(Standard) Local Corporate	SARS-COV-2 NUCLEIC ACID TEST(Standard)	Percentage	GHS	101.2	Local Corporate
SCHOOL REPORT (FOREIGN) Local Corporate	SCHOOL REPORT (FOREIGN)	Percentage	GHS	101.2	Local Corporate
SCHOOL REPORT (LOCAL) Local Corporate	SCHOOL REPORT (LOCAL)	Percentage	GHS	101.2	Local Corporate
Sp Emergency Local Corporate	Sp Emergency	Percentage	GHS	101.2	Local Corporate
Steroid Injections Local Corporate	Steroid Injections	Percentage	GHS	101.2	Local Corporate
SUCTION FEE - MAJOR Local Corporate	SUCTION FEE - MAJOR	Percentage	GHS	101.2	Local Corporate
Surgical Cricothyroidotomy Local Corporate	Surgical Cricothyroidotomy	Percentage	GHS	101.2	Local Corporate
Surgical Wound Dressing (ICU) Local Corporate	Surgical Wound Dressing (ICU)	Percentage	GHS	101.2	Local Corporate
BILATERAL IRRIGATION Local Corporate	BILATERAL IRRIGATION	Percentage	GHS	101.2	Local Corporate
COLOR VISION Local Corporate	COLOR VISION	Percentage	GHS	101.2	Local Corporate
CONJUNCTIVAL FOREIGN BODY REMOVAL Local Corporate	CONJUNCTIVAL FOREIGN BODY REMOVAL	Percentage	GHS	101.2	Local Corporate
CORNEAL FOREIGN BODY REMOVAL Local Corporate	CORNEAL FOREIGN BODY REMOVAL	Percentage	GHS	101.2	Local Corporate
CYCLOPLEGIC REFRACTION (WET) Local Corporate	CYCLOPLEGIC REFRACTION (WET)	Percentage	GHS	101.2	Local Corporate
DILATED FUNDUS EXAMS Local Corporate	DILATED FUNDUS EXAMS	Percentage	GHS	101.2	Local Corporate
EPILATION BY FORCEPS Local Corporate	EPILATION BY FORCEPS	Percentage	GHS	101.2	Local Corporate
REFRACTION (DRY) Local Corporate	REFRACTION (DRY)	Percentage	GHS	101.2	Local Corporate
TONOMETR Local Corporate	TONOMETR	Percentage	GHS	101.2	Local Corporate
UNILATERAL IRRIGATION Local Corporate	UNILATERAL IRRIGATION	Percentage	GHS	101.2	Local Corporate
TEMPERATURE SKIN PATCH (NICU) Local Corporate	TEMPERATURE SKIN PATCH (NICU)	Percentage	GHS	101.2	Local Corporate
Three way tap(stopcork) (ICU) Local Corporate	Three way tap(stopcork) (ICU)	Percentage	GHS	101.2	Local Corporate
Tonometry Local Corporate	Tonometry	Percentage	GHS	101.2	Local Corporate
Ultrasound Guided Biopsies (Deep) Local Corporate	Ultrasound Guided Biopsies (Deep)	Percentage	GHS	101.2	Local Corporate
Ultrasound Guided Biopsies (Superficial) Local Corporate	Ultrasound Guided Biopsies (Superficial)	Percentage	GHS	101.2	Local Corporate
Umbilical Catheteization Local Corporate	Umbilical Catheteization	Percentage	GHS	101.2	Local Corporate
Urethral Catheter Insertion/Removal (ICU) Local Corporate	Urethral Catheter Insertion/Removal (ICU)	Percentage	GHS	101.2	Local Corporate
Vaginal Speculum Local Corporate	Vaginal Speculum	Percentage	GHS	101.2	Local Corporate
Workmans Compensation Medical Report Local Corporate	Workmans Compensation Medical Report	Percentage	GHS	101.2	Local Corporate
WOUND DRESSING (M&C) Local Corporate	WOUND DRESSING (M&C)	Percentage	GHS	101.2	Local Corporate
CARDIOTOCOGRAM (M&C) Local Corporate	CARDIOTOCOGRAM (M&C)	Percentage	GHS	101.2	Local Corporate
Nursing Critical Care Charge Local Corporate	Nursing Critical Care Charge	Percentage	GHS	101.2	Local Corporate
Removal of Catheter Local Corporate	Removal of Catheter	Percentage	GHS	101.2	Local Corporate
SILICON FOLEY CATHETER Local Corporate	SILICON FOLEY CATHETER	Percentage	GHS	101.2	Local Corporate
SUCTION FEE - MINOR Local Corporate	SUCTION FEE - MINOR	Percentage	GHS	101.2	Local Corporate
Vacuum Extraction and Delivery Local Corporate	Vacuum Extraction and Delivery	Percentage	GHS	101.2	Local Corporate
12 Lead ECG (ICU) Foreign Corporate	12 Lead ECG (ICU)	Percentage	GHS	101.6	Foreign Corporate
3-way tab Foreign Corporate	3-way tab	Percentage	GHS	101.6	Foreign Corporate
Abdominal Tab Foreign Corporate	Abdominal Tab	Percentage	GHS	101.6	Foreign Corporate
Abdominal tap Foreign Corporate	Abdominal tap	Percentage	GHS	101.6	Foreign Corporate
Above Knee Cast Foreign Corporate	Above Knee Cast	Percentage	GHS	101.6	Foreign Corporate
Additional Bed (Occupant) Foreign Corporate	Additional Bed (Occupant)	Percentage	GHS	101.6	Foreign Corporate
AIR TRANSPORT REPORT Foreign Corporate	AIR TRANSPORT REPORT	Percentage	GHS	101.6	Foreign Corporate
AMBULANCE (M&C) Foreign Corporate	AMBULANCE (M&C)	Percentage	GHS	101.6	Foreign Corporate
Ambulance Service (1st -2 hrs) Foreign Corporate	Ambulance Service (1st -2 hrs)	Percentage	GHS	101.6	Foreign Corporate
Ambulance Service (Extra 1 hrs) Foreign Corporate	Ambulance Service (Extra 1 hrs)	Percentage	GHS	101.6	Foreign Corporate
Ambulance Fees - (NPCC to Airport) Foreign Corporate	Ambulance Fees - (NPCC to Airport)	Percentage	GHS	101.6	Foreign Corporate
Ambulance NICU Foreign Corporate	Ambulance NICU	Percentage	GHS	101.6	Foreign Corporate
Arterial Blood Gases Test (ICU) Foreign Corporate	Arterial Blood Gases Test (ICU)	Percentage	GHS	101.6	Foreign Corporate
Arterial Line Insertion (ICU) Foreign Corporate	Arterial Line Insertion (ICU)	Percentage	GHS	101.6	Foreign Corporate
B.Braun given set/Infusion pump (ICU) Foreign Corporate	B.Braun given set/Infusion pump (ICU)	Percentage	GHS	101.6	Foreign Corporate
Babies Charge (NICU) Foreign Corporate	Babies Charge (NICU)	Percentage	GHS	101.6	Foreign Corporate
Below Knee Cast Foreign Corporate	Below Knee Cast	Percentage	GHS	101.6	Foreign Corporate
Bladder Irrigation (ICU) Foreign Corporate	Bladder Irrigation (ICU)	Percentage	GHS	101.6	Foreign Corporate
Blood Sugar Foreign Corporate	Blood Sugar	Percentage	GHS	101.6	Foreign Corporate
BLOOD TRANSFUSSION (M&C) Foreign Corporate	BLOOD TRANSFUSSION (M&C)	Percentage	GHS	101.6	Foreign Corporate
Breast Scan / Mammogram Foreign Corporate	Breast Scan / Mammogram	Percentage	GHS	101.6	Foreign Corporate
CALCIUM GLUCONATE(NICU) Foreign Corporate	CALCIUM GLUCONATE(NICU)	Percentage	GHS	101.6	Foreign Corporate
CANNULA YELLOW(NICU) Foreign Corporate	CANNULA YELLOW(NICU)	Percentage	GHS	101.6	Foreign Corporate
CANNULATION (M&C) Foreign Corporate	CANNULATION (M&C)	Percentage	GHS	101.6	Foreign Corporate
Cardiac Monitoring Foreign Corporate	Cardiac Monitoring	Percentage	GHS	101.6	Foreign Corporate
Cardiac Monitoring (ICU) Foreign Corporate	Cardiac Monitoring (ICU)	Percentage	GHS	101.6	Foreign Corporate
Cardiograph -M&C Foreign Corporate	Cardiograph -M&C	Percentage	GHS	101.6	Foreign Corporate
Cardiopulmonary Resuscitation Foreign Corporate	Cardiopulmonary Resuscitation	Percentage	GHS	101.6	Foreign Corporate
Catheter Care (Home Care) Foreign Corporate	Catheter Care (Home Care)	Percentage	GHS	101.6	Foreign Corporate
CATHETERIZATION (M&C) Foreign Corporate	CATHETERIZATION (M&C)	Percentage	GHS	101.6	Foreign Corporate
Central Line dressing (ICU) Foreign Corporate	Central Line dressing (ICU)	Percentage	GHS	101.6	Foreign Corporate
Change of Feeding Gastrostomy tube Foreign Corporate	Change of Feeding Gastrostomy tube	Percentage	GHS	101.6	Foreign Corporate
Chest Physiotherapy (ICU) Foreign Corporate	Chest Physiotherapy (ICU)	Percentage	GHS	101.6	Foreign Corporate
Chest Tube Insertion Foreign Corporate	Chest Tube Insertion	Percentage	GHS	101.6	Foreign Corporate
Closed Reduction of Hip dislocation Foreign Corporate	Closed Reduction of Hip dislocation	Percentage	GHS	101.6	Foreign Corporate
Closed Reduction of Knee dislocation Foreign Corporate	Closed Reduction of Knee dislocation	Percentage	GHS	101.6	Foreign Corporate
Closed Reduction of Shoulder dislocation Foreign Corporate	Closed Reduction of Shoulder dislocation	Percentage	GHS	101.6	Foreign Corporate
Comprehensive Eye Screening Foreign Corporate	Comprehensive Eye Screening	Percentage	GHS	101.6	Foreign Corporate
Covid-19 Critical-ICU Foreign Corporate	Covid-19 Critical-ICU	Percentage	GHS	101.6	Foreign Corporate
Covid-19 Normal Test Foreign Corporate	Covid-19 Normal Test	Percentage	GHS	101.6	Foreign Corporate
Covid-19 OPD-Triage Foreign Corporate	Covid-19 OPD-Triage	Percentage	GHS	101.6	Foreign Corporate
Covid-19 Report Fee Foreign Corporate	Covid-19 Report Fee	Percentage	GHS	101.6	Foreign Corporate
Covid-19 Test - ER Foreign Corporate	Covid-19 Test - ER	Percentage	GHS	101.6	Foreign Corporate
Covid-19 Ward Foreign Corporate	Covid-19 Ward	Percentage	GHS	101.6	Foreign Corporate
Critical Care Nursing (ICU) Foreign Corporate	Critical Care Nursing (ICU)	Percentage	GHS	101.6	Foreign Corporate
CT Guided Biopsies (Deep) Foreign Corporate	CT Guided Biopsies (Deep)	Percentage	GHS	101.6	Foreign Corporate
CT Guided Biopsies (Superficial) Foreign Corporate	CT Guided Biopsies (Superficial)	Percentage	GHS	101.6	Foreign Corporate
CTG Foreign Corporate	CTG	Percentage	GHS	101.6	Foreign Corporate
Daily Injection Foreign Corporate	Daily Injection	Percentage	GHS	101.6	Foreign Corporate
Doctors Fee - M&C Foreign Corporate	Doctors Fee - M&C	Percentage	GHS	101.6	Foreign Corporate
Doctors Fees (daily) Foreign Corporate	Doctors Fees (daily)	Percentage	GHS	101.6	Foreign Corporate
Domiciliary Consultation Foreign Corporate	Domiciliary Consultation	Percentage	GHS	101.6	Foreign Corporate
Ear Piercing (M&C) Foreign Corporate	Ear Piercing (M&C)	Percentage	GHS	101.6	Foreign Corporate
Emergency Management of Open Fracture Foreign Corporate	Emergency Management of Open Fracture	Percentage	GHS	101.6	Foreign Corporate
Endoscopic Sinus Surgery Foreign Corporate	Endoscopic Sinus Surgery	Percentage	GHS	101.6	Foreign Corporate
ENDOSCOPY Foreign Corporate	ENDOSCOPY	Percentage	GHS	101.6	Foreign Corporate
ENDOSCOPY UNIT Foreign Corporate	ENDOSCOPY UNIT	Percentage	GHS	101.6	Foreign Corporate
Endotracheal Incubation (ICU) Foreign Corporate	Endotracheal Incubation (ICU)	Percentage	GHS	101.6	Foreign Corporate
Endotracheal Intubation Foreign Corporate	Endotracheal Intubation	Percentage	GHS	101.6	Foreign Corporate
ENT Ear Syringing (NICU) Foreign Corporate	ENT Ear Syringing (NICU)	Percentage	GHS	101.6	Foreign Corporate
ENTONOX GAS PRESSURE BAR Foreign Corporate	ENTONOX GAS PRESSURE BAR	Percentage	GHS	101.6	Foreign Corporate
Epidural Anaesthesia Foreign Corporate	Epidural Anaesthesia	Percentage	GHS	101.6	Foreign Corporate
EPISIOTOMY (M&C) Foreign Corporate	EPISIOTOMY (M&C)	Percentage	GHS	101.6	Foreign Corporate
ER Physician 6hrs charge Foreign Corporate	ER Physician 6hrs charge	Percentage	GHS	101.6	Foreign Corporate
ER Specialist Nurse Charge Foreign Corporate	ER Specialist Nurse Charge	Percentage	GHS	101.6	Foreign Corporate
Exclusive Nursing Care Foreign Corporate	Exclusive Nursing Care	Percentage	GHS	101.6	Foreign Corporate
Eye Irrigation Foreign Corporate	Eye Irrigation	Percentage	GHS	101.6	Foreign Corporate
Fitness Examination Foreign Corporate	Fitness Examination	Percentage	GHS	101.6	Foreign Corporate
Gastric Lavage (Procedure) Foreign Corporate	Gastric Lavage (Procedure)	Percentage	GHS	101.6	Foreign Corporate
Gastric Lavage Procedure (NICU) Foreign Corporate	Gastric Lavage Procedure (NICU)	Percentage	GHS	101.6	Foreign Corporate
General Practitioner 6hrs Foreign Corporate	General Practitioner 6hrs	Percentage	GHS	101.6	Foreign Corporate
HDU Nursing Charges Foreign Corporate	HDU Nursing Charges	Percentage	GHS	101.6	Foreign Corporate
HIV 1 & 2 (Rapid + Elisa) Foreign Corporate	HIV 1 & 2 (Rapid + Elisa)	Percentage	GHS	101.6	Foreign Corporate
Home Care Transport: Airport Vicinity Foreign Corporate	Home Care Transport: Airport Vicinity	Percentage	GHS	101.6	Foreign Corporate
Home Care: New Baby Care (12hrs) Foreign Corporate	Home Care: New Baby Care (12hrs)	Percentage	GHS	101.6	Foreign Corporate
Home Care: New Baby Care (24hrs) Foreign Corporate	Home Care: New Baby Care (24hrs)	Percentage	GHS	101.6	Foreign Corporate
Home Care: New Baby Care (6hrs) Foreign Corporate	Home Care: New Baby Care (6hrs)	Percentage	GHS	101.6	Foreign Corporate
Home Care: Nursing Service Charge Foreign Corporate	Home Care: Nursing Service Charge	Percentage	GHS	101.6	Foreign Corporate
ICU Central Line Insertion & Removal Foreign Corporate	ICU Central Line Insertion & Removal	Percentage	GHS	101.6	Foreign Corporate
ICU Nursing Care Charges Foreign Corporate	ICU Nursing Care Charges	Percentage	GHS	101.6	Foreign Corporate
Image Guided Drainage and Aspirations (Deep) Foreign Corporate	Image Guided Drainage and Aspirations (Deep)	Percentage	GHS	101.6	Foreign Corporate
Image Guided Drainage and Aspirations(Superficial) Foreign Corporate	Image Guided Drainage and Aspirations(Superficial)	Percentage	GHS	101.6	Foreign Corporate
IMPLANON INSERTION / REMOVAL (M&C) Foreign Corporate	IMPLANON INSERTION / REMOVAL (M&C)	Percentage	GHS	101.6	Foreign Corporate
Incentive Spirometery (ICU) Foreign Corporate	Incentive Spirometery (ICU)	Percentage	GHS	101.6	Foreign Corporate
Incision & Drainage of the thumb Foreign Corporate	Incision & Drainage of the thumb	Percentage	GHS	101.6	Foreign Corporate
Incision and drainage Foreign Corporate	Incision and drainage	Percentage	GHS	101.6	Foreign Corporate
Indirect Ophthalmoscopy Foreign Corporate	Indirect Ophthalmoscopy	Percentage	GHS	101.6	Foreign Corporate
INSERTION OF IMPLANT Foreign Corporate	INSERTION OF IMPLANT	Percentage	GHS	101.6	Foreign Corporate
INSERTION OF IUCD Foreign Corporate	INSERTION OF IUCD	Percentage	GHS	101.6	Foreign Corporate
Insertion of Jadel - M&C Foreign Corporate	Insertion of Jadel - M&C	Percentage	GHS	101.6	Foreign Corporate
Intermediate Dressing - M&C Foreign Corporate	Intermediate Dressing - M&C	Percentage	GHS	101.6	Foreign Corporate
Intermediate wound dressing (Home Care) Foreign Corporate	Intermediate wound dressing (Home Care)	Percentage	GHS	101.6	Foreign Corporate
IUCD INSERTION / REMOVAL (M&C) Foreign Corporate	IUCD INSERTION / REMOVAL (M&C)	Percentage	GHS	101.6	Foreign Corporate
IV/IM drug administration (Home Care) Foreign Corporate	IV/IM drug administration (Home Care)	Percentage	GHS	101.6	Foreign Corporate
JADELLE INSERTION / REMOVAL (M&C) Foreign Corporate	JADELLE INSERTION / REMOVAL (M&C)	Percentage	GHS	101.6	Foreign Corporate
Lumber Puncture Foreign Corporate	Lumber Puncture	Percentage	GHS	101.6	Foreign Corporate
Major Dressing - M&C Foreign Corporate	Major Dressing - M&C	Percentage	GHS	101.6	Foreign Corporate
Major wound Dressing (Home Care) Foreign Corporate	Major wound Dressing (Home Care)	Percentage	GHS	101.6	Foreign Corporate
Manual Evacuation (M&C) Foreign Corporate	Manual Evacuation (M&C)	Percentage	GHS	101.6	Foreign Corporate
Medical Exam Fee Foreign Corporate	Medical Exam Fee	Percentage	GHS	101.6	Foreign Corporate
MEDICAL OPINION (GENERAL) Foreign Corporate	MEDICAL OPINION (GENERAL)	Percentage	GHS	101.6	Foreign Corporate
MEDICAL OPINION (LEGAL) Foreign Corporate	MEDICAL OPINION (LEGAL)	Percentage	GHS	101.6	Foreign Corporate
Minor Dressing - M&C Foreign Corporate	Minor Dressing - M&C	Percentage	GHS	101.6	Foreign Corporate
Minor wound dressing (Home care) Foreign Corporate	Minor wound dressing (Home care)	Percentage	GHS	101.6	Foreign Corporate
Nebulisation Foreign Corporate	Nebulisation	Percentage	GHS	101.6	Foreign Corporate
Nebulisation Mask Foreign Corporate	Nebulisation Mask	Percentage	GHS	101.6	Foreign Corporate
Nebulization on the ventilator (ICU) Foreign Corporate	Nebulization on the ventilator (ICU)	Percentage	GHS	101.6	Foreign Corporate
Needle Cricothyroidotomy Foreign Corporate	Needle Cricothyroidotomy	Percentage	GHS	101.6	Foreign Corporate
NELATION TUBE (M&C) Foreign Corporate	NELATION TUBE (M&C)	Percentage	GHS	101.6	Foreign Corporate
NELATON TUBE Foreign Corporate	NELATON TUBE	Percentage	GHS	101.6	Foreign Corporate
